City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
94,Avarua,CK,73.45,heavy intensity rain,-21.2078,-159.775,Paradise Inn
96,Ghorawal,IN,86.86,clear sky,24.7667,82.7833,Abbas Ujjwal Tent House
98,Ribeira Grande,PT,61.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
100,Bodden Town,KY,82.99,broken clouds,19.2833,-81.25,Will T Place
101,Jonesboro,US,79.03,broken clouds,35.8423,-90.7043,Hilton Garden Inn Jonesboro
103,Bloomfield,US,63.97,broken clouds,40.8068,-74.1854,Troy Carroll
105,Baft,IR,60.21,broken clouds,29.234,56.6057,Paeez Hotel & restaurant
106,Juba,SS,83.21,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
108,Port Alfred,ZA,60.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
110,Kaoma,ZM,66.31,few clouds,-14.7833,24.8,KAOMA AIRPORT
111,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
116,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,Valle Aridane
118,Buala,SB,79.39,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
119,Paracale,PH,78.28,broken clouds,14.2804,122.7881,Waling Waling center Paracale
121,Pecos,US,82.49,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
127,Isiro,CD,72.09,broken clouds,2.7739,27.616,Guest House Hewa Bora
128,Bengkulu,ID,76.08,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
130,Mizdah,LY,73.15,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
131,Vanimo,PG,76.41,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
132,Guadalajara,MX,81.99,clear sky,20.6667,-103.3333,Hotel Aranzazú
134,Isangel,VU,77.63,broken clouds,-19.55,169.2667,Tanna Lodge
135,Santa Branca,BR,82.08,few clouds,-23.3967,-45.8839,Jardins do Mirante
140,Nagato,JP,60.21,moderate rain,34.3833,131.2,いそう庵
142,East London,ZA,63.14,light rain,-33.0153,27.9116,Tu Casa
143,Tondano,ID,68.09,overcast clouds,1.3038,124.9112,Villa Bella
144,Kismayo,SO,82.89,scattered clouds,-0.3582,42.5454,Agan-Hotel
145,Diamantino,BR,83.21,broken clouds,-14.4086,-56.4461,Hotel Delta
146,Pangkalanbuun,ID,76.06,scattered clouds,-2.6833,111.6167,Grand Kecubung Hotel
147,Ponta Do Sol,PT,67.12,overcast clouds,32.6667,-17.1,Hotel do Campo
148,Anori,BR,82.74,broken clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
