City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
344,Sorland,NO,67.667,12.6934,41.61,81,13,7.63,few clouds
345,Okahandja,NA,-21.9833,16.9167,69.24,34,24,12.12,few clouds
346,Oistins,BB,13.0667,-59.5333,86.09,54,40,18.41,scattered clouds
347,Dryden,CA,49.7833,-92.7503,35.89,93,100,12.66,mist
348,Quatre Cocos,MU,-20.2078,57.7625,75.09,66,51,18.86,broken clouds
349,Adrar,MR,20.5022,-10.0711,88.79,10,2,14.36,clear sky
350,Jagatsinghapur,IN,20.2667,86.1667,84.56,88,64,12.1,broken clouds
351,Mezhdurechensk,RU,53.6942,88.0603,19.18,90,54,3.62,broken clouds
352,Graaff-Reinet,ZA,-32.2522,24.5308,55.92,93,100,4.54,overcast clouds
353,San Quintin,MX,30.4833,-115.95,62.46,57,1,11.99,clear sky
354,Mazamari,PE,-11.3258,-74.5308,89.26,50,90,2.68,overcast clouds
355,Saint George,US,37.1041,-113.5841,63.79,39,0,3.0,clear sky
356,Savannah Bight,HN,16.45,-85.85,79.72,72,43,2.98,scattered clouds
357,Turukhansk,RU,65.8167,87.9833,11.34,97,98,7.52,overcast clouds
358,Riviera Beach,US,26.7753,-80.0581,82.45,61,86,14.97,overcast clouds
359,Luderitz,NA,-26.6481,15.1594,58.82,75,0,26.28,clear sky
360,Comodoro Rivadavia,AR,-45.8667,-67.5,57.52,40,75,47.98,broken clouds
361,Noumea,NC,-22.2763,166.4572,75.99,99,64,13.76,broken clouds
362,Kamenka,RU,51.3223,42.7678,51.22,58,27,4.41,scattered clouds
363,Ucluelet,CA,48.9329,-125.5528,49.08,85,81,1.99,broken clouds
364,Daru,PG,-9.0763,143.2092,77.65,88,100,6.17,moderate rain
365,Palimbang,PH,6.2106,124.1894,78.22,84,100,4.7,overcast clouds
366,Gushi,CN,34.6425,109.5843,67.95,49,100,3.53,moderate rain
367,Golden,US,39.7555,-105.2211,59.25,27,96,15.01,overcast clouds
368,Cefalu,IT,38.0386,14.0229,66.36,68,0,1.99,clear sky
369,Mariental,NA,-24.6333,17.9667,74.7,24,13,16.04,few clouds
370,Chuy,UY,-33.6971,-53.4616,68.14,35,0,9.95,clear sky
371,Izumo,JP,35.3667,132.7667,60.08,89,100,3.11,overcast clouds
372,Winslow,US,35.0242,-110.6974,56.88,21,17,11.1,few clouds
373,Wajima,JP,37.4,136.9,52.84,70,100,7.14,overcast clouds
374,Bonavista,CA,48.6499,-53.1147,35.24,91,95,22.35,light snow
375,Cabo San Lucas,MX,22.8909,-109.9124,81.61,66,2,1.99,clear sky
376,Malkapur,IN,20.8833,76.2,96.03,16,51,6.53,broken clouds
377,Lavrentiya,RU,65.5833,-171.0,16.75,86,17,4.7,few clouds
